,0,1,2,3,4,5,6,7,8,9,10,11,12
0,,,,,,,,,,2RS1,2RSH,,
1,,,,,,,2Z,,,,,,
2,,Principal dimensions,,,Basic load ratings,Fatigue,Speed ratings,,Mass,,Designations,,
3,,,,dynamic,static,load limit,Reference,Limiting,,,Bearing,,
4,,,,,,,speed,speed1),,,open or capped,capped on one,
5,d,D,B,C,C0,Pu,,,,,on both sides,side1),
6,mm,,,kN,,kN,r/min,,kg,,–,,
7,3,10,4,"0,54","0,18","0,007",130 000,80 000,"0,0015",▶,623,–,
8,,10,4,"0,54","0,18","0,007",–,40 000,"0,0015",▶,623-2RS1,623-RS1,
9,,10,4,"0,54","0,18","0,007",130 000,60 000,"0,0015",▶,623-2Z,623-Z,
10,4,9,"2,5","0,423","0,116","0,005",140 000,85 000,"0,0007",,618/4,–,
11,,9,"3,5","0,54","0,18","0,07",140 000,70 000,"0,001",,628/4-2Z,–,
12,,9,4,"0,54","0,18","0,07",140 000,70 000,"0,0013",,638/4-2Z,–,
13,,11,4,"0,624","0,18","0,008",130 000,63 000,"0,0017",,619/4-2Z,–,
14,,11,4,"0,624","0,18","0,008",130 000,80 000,"0,0017",,619/4,–,
15,,12,4,"0,806","0,28","0,012",120 000,75 000,"0,0021",,604,–,
16,,12,4,"0,806","0,28","0,012",120 000,60 000,"0,0021",▶,604-2Z,604-Z,
17,,13,5,"0,936","0,29","0,012",110 000,67 000,"0,0031",▶,624,–,
18,,13,5,"0,936","0,29","0,012",110 000,53 000,"0,0031",▶,624-2Z,624-Z,
19,,16,5,"1,11","0,38","0,016",95 000,60 000,"0,0054",,634,–,
20,,16,5,"1,11","0,38","0,016",–,28 000,"0,0054",,634-2RS1,634-RS1,
21,,16,5,"1,11","0,38","0,016",95 000,48 000,"0,0054",,634-2RZ,634-RZ,
22,,16,5,"1,11","0,38","0,016",95 000,48 000,"0,0054",▶,634-2Z,634-Z,
23,5,11,3,"0,468","0,143","0,006",120 000,75 000,"0,0012",,618/5,–,
24,,11,4,"0,64","0,26","0,011",120 000,60 000,"0,0014",,628/5-2Z,–,
25,,11,5,"0,64","0,26","0,011",120 000,60 000,"0,0016",,638/5-2Z,–,
26,,13,4,"0,884","0,335","0,014",110 000,50 000,"0,0025",,619/5-2Z,–,
27,,13,4,"0,884","0,335","0,014",110 000,70 000,"0,0025",,619/5,–,
28,,16,5,"1,14","0,38","0,016",95 000,60 000,"0,005",▶,625,–,
29,,16,5,"1,14","0,38","0,016",95 000,48 000,"0,005",▶,625-2Z,625-Z,
