,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,,,,,,,,,,2RS1,2RSH,,,,,,,,,,,,,,
1,,,,,,,2Z,,,,,,,,,,,,,,,,,,
2,,Principal dimensions,,,Basic load ratings,Fatigue,Speed ratings,,Mass,,Designations,,,,,,,,,,,,,,
3,,,,dynamic,static,load limit,Reference,Limiting,,,Bearing,,,,,,,,,,,,,,
4,,,,,,,speed,speed1),,,open or capped,capped on one,,,,,,,,,,,,,
5,d,D,B,C,C0,Pu,,,,,on both sides,side1),,,≈,≈,≈,≈,min,min,max,max,max,,
6,mm,,,kN,,kN,r/min,,kg,,–,,,mm,,,,,,mm,,,,–,
7,3,10,4,"0,54","0,18",7,130 000,80 000,"0,0015",▶,623,–,,3,"5,2",–,–,"8,2","0,15","4,2",–,"8,8","0,1",25,"7,5"
8,,10,4,"0,54","0,18",7,–,40 000,"0,0015",▶,623-2RS1,623-RS1,,,"5,2",–,–,"8,2","0,15","4,2","5,1","8,8","0,1",25,"7,5"
9,,10,4,"0,54","0,18",7,130 000,60 000,"0,0015",▶,623-2Z,623-Z,,,"5,2",–,–,"8,2","0,15","4,2","5,1","8,8","0,1",25,"7,5"
10,4,9,"2,5",423,116,5,140 000,85 000,"0,0007",,618/4,–,,4,"5,2",–,"7,5",–,"0,1","4,6",–,"8,4","0,1",15,"6,5"
11,,9,"3,5","0,54","0,18","0,07",140 000,70 000,1,,628/4-2Z,–,,,"5,2",–,–,"8,1","0,1","4,6","5,1","8,4","0,1",15,10
12,,9,4,"0,54","0,18","0,07",140 000,70 000,"0,0013",,638/4-2Z,–,,,"5,2",–,–,"8,1","0,1","4,6","5,1","8,4","0,1",15,10
13,,11,4,624,"0,18",8,130 000,63 000,"0,0017",,619/4-2Z,–,,,"6,1",–,–,"9,9","0,15","4,8","5,8","10,2","0,1","0,02","6,4"
14,,11,4,624,"0,18",8,130 000,80 000,"0,0017",,619/4,–,,,"6,1",–,–,"9,9","0,15","4,8",–,"10,2","0,1","0,02","6,4"
15,,12,4,806,"0,28",12,120 000,75 000,"0,0021",,604,–,,,"6,1",–,–,"9,8","0,2","5,4",–,"10,6","0,2",25,10
16,,12,4,806,"0,28",12,120 000,60 000,"0,0021",▶,604-2Z,604-Z,,,"6,1",–,–,"9,8","0,2","5,4",6,"10,6","0,2",25,10
17,,13,5,936,"0,29",12,110 000,67 000,"0,0031",▶,624,–,,,"6,7",–,–,"11,2","0,2","5,8",–,"11,2","0,2",25,10
